bassetId|title|where|onlineID
437|The Seaboard Parish|ia|seaboardparish02macd
437|The Seaboard Parish|ht|uiuo.ark+=13960=t20c5gc55
438|Wilfrid Cumbermede|ia|wilfridcumbermed03macd
438|Wilfrid Cumbermede|pg|9183
438|Wilfrid Cumbermede|ht|uiuo.ark+=13960=t4nk4176m
439|A Peerless Wife|gb|5vgBAAAAQAAJ
439|A Peerless Wife|ht|coo.31924013520386
443|Madeleine Graham|ia|madeleinegraham02robi
443|Madeleine Graham|ht|inu.32000014252649
449|The Man of Mark|ia|manofmark03maug
449|The Man of Mark|ht|uiuo.ark+=13960=t7vm4sm4q
450|Margaret's Engagement: A Novel|gb|O-EBAAAAQAAJ
451|Marion|gb|lw0CAAAAQAAJ
451|Marion|ia|marion01scov
451|Marion|ht|uiuo.ark+=13960=t3zs3cg3n
452|Married: A Tale|ia|marriedtale01newb
452|Married: A Tale|ht|uiuo.ark+=13960=t1wd4h418
453|Married Beneath Him|ht|uc1.b3327527
455|The Confessions of Gerald Estcourt|gb|hxACAAAAQAAJ
455|The Confessions of Gerald Estcourt|ht|inu.30000054101278
456|For Ever and Ever: A Drama of Life|gb|gssBAAAAQAAJ
456|For Ever and Ever: A Drama of Life|ht|nyp.33433074878756
457|Her Lord and Master|ht|nyp.33433074880075
458|Love's Conflict|gb|5A8CAAAAQAAJ
458|Love's Conflict|ht|nyp.33433074880059
459|Nelly Brooke: A Homely Story|gb|gdYBAAAAQAAJ
459|Nelly Brooke: A Homely Story|ht|uiuo.ark+=13960=t0gt63s3p
460|Petronel|ht|mdp.39015035932436
461|The Prey of the Gods: A Novel|ia|preyofgodsnovel02marr
461|The Prey of the Gods: A Novel|ht|uiuo.ark+=13960=t2p562z5b
462|Too Good for Him|gb|CwkCAAAAQAAJ
462|Too Good for Him|ia|toogoodforhim01marr
463|Veronique: A Romance|gb|t9sBAAAAQAAJ
464|Woman Against Woman|gb|Rs4BAAAAQAAJ
464|Woman Against Woman|ia|womanagainstwoma02marr
464|Woman Against Woman|ht|uiuo.ark+=13960=t2j681k9s
465|Chronicles of Dartmoor|gb|180BAAAAQAAJ
466|Maidenhood|ht|uc2.ark+=13960=t1jh3js7n
468|The Story of Alec Drummond, of 17th Lancers|gb|j9oBAAAAQAAJ
473|Mattie: A Stray|gb|IAgCAAAAQAAJ
473|Mattie: A Stray|ia|mattiestray03robi
473|Mattie: A Stray|pg|35278
473|Mattie: A Stray|ht|uc2.ark+=13960=t5n874w37
475|Faces for Fortunes|ia|facesforfortunes02mayh
475|Faces for Fortunes|ht|njp.32101064918947
477|Cerise: A Tale of the Last Century|ht|uiuo.ark+=13960=t1sf3f894
478|The Gladiators: A Tale of Rome and Judaea|ht|uc2.ark+=13960=t2z31ts91
479|Sarchedon: A Legend of the Great Queen|ia|sarchedonlegendo02whyte
479|Sarchedon: A Legend of the Great Queen|pg|42393
479|Sarchedon: A Legend of the Great Queen|ht|coo.31924064988896
480|The White Rose|ia|whiterose02whyte
480|The White Rose|ht|uc2.ark+=13960=t3vt1nq85
481|The Member for Paris: A Tale of the Second Empire|ia|memberforparista01murr
481|The Member for Paris: A Tale of the Second Empire|ht|njp.32101065848234
483|The Adventures of Harry Richmond|ia|adventuresofharr03mere
483|The Adventures of Harry Richmond|ht|nyp.33433074890074
484|Emilia in England|ia|emiliainengland02mere
485|Rhoda Fleming: A Story|ia|rhodaflemingstor02mere
485|Rhoda Fleming: A Story|ht|njp.32101079670715
486|Vittoria|ia|vittoria02mere
486|Vittoria|ht|uc2.ark+=13960=t46q20q3m
487|Meta's Faith|gb|LeEBAAAAQAAJ
488|The Midlands and Others|gb|AuYBAAAAQAAJ
491|Mirk Abbey|ia|mirkabbey03payn
491|Mirk Abbey|ht|uiuo.ark+=13960=t1gj0329d
492|Mine Own Familiar Friend|gb|7PQBAAAAQAAJ
493|The World Before Them: A Novel|pg|42145
505|My Little Lady|ht|coo.31924013537257
509|Netherton-on-Sea: A Story|ia|nethertononseast02alfo
509|Netherton-on-Sea: A Story|ht|uiuo.ark+=13960=t05x2kj0m
510|The Angle House: A Novel|gb|gBECAAAAQAAJ
512|Common Sense: A Novel|ht|nyp.33433074920368
519|Not Wisely, but Too Well: A Novel|ht|uc1.b249558
522|Old Sir Douglas|ia|oldsirdouglas02nort
522|Old Sir Douglas|ht|nyp.33433074968995
524|Cold Comfort: A Novel|ht|wu.89006384820
525|Felicia's Dowry|ia|feliciasdowry03oked
525|Felicia's Dowry|ht|uiuo.ark+=13960=t1vd7d72p
526|Agnes|ia|agnes01oliph
526|Agnes|ht|uiuo.ark+=13960=t01z4tz17
527|Brownlows|ia|brownlows01olip
527|Brownlows|pg|54841
527|Brownlows|ht|njp.32101065192484
528|Madonna Mary: A Story of Modern English Life|ia|madonnamary03olip
528|Madonna Mary: A Story of Modern English Life|pg|44080
528|Madonna Mary: A Story of Modern English Life|ht|uc2.ark+=13960=t6rx9gm58
529|The Minister's Wife|ia|ministerswife02olip
529|The Minister's Wife|ht|uiuo.ark+=13960=t05x2wh1c
530|Squire Arden|ia|squirearden03olip
