id,when,sex,vols,counter
B492,T2,F,3,1
B493,T2,F,3,1
B494,T2,M,3,1
B495,T2,F,3,1
B496,T2,M,3,1
B497,T2,M,3,1
B498,T2,U,3,1
B499,T2,U,3,1
B500,T2,F,3,1
B501,T2,F,3,1
B502,T2,F,3,1
B503,T2,F,3,1
B504,T2,F,3,1
B505,T2,F,3,1
B506,T2,F,3,1
B507,T2,U,3,1
B508,T2,F,3,1
B509,T2,F,3,1
B510,T2,M,3,1
B511,T2,M,3,1
B512,T2,F,3,1
B513,T2,F,3,1
B514,T2,F,3,1
B515,T2,U,3,1
B516,T2,F,3,1
B517,T2,U,3,1
B518,T2,F,3,1
B519,T2,F,3,1
B520,T2,M,3,1
B521,T2,F,3,1
B522,T2,F,3,1
B523,T2,M,3,1
B524,T2,F,3,1
B525,T2,F,3,1
B526,T2,F,3,1
B527,T2,F,3,1
B528,T2,F,3,1
B529,T2,F,3,1
B530,T2,F,3,1
B531,T2,F,3,1
B532,T2,F,3,1
B533,T2,F,3,1
B534,T2,F,3,1
B535,T2,F,3,1
B536,T2,M,3,1
B537,T2,U,3,1
B538,T2,F,3,1
B539,T2,F,3,1
B540,T2,F,3,1
B541,T2,F,3,1
B542,T2,M,3,1
B543,T2,F,3,1
B544,T2,M,3,1
B545,T2,F,3,1
B546,T2,M,3,1
B547,T2,M,3,1
B548,T2,F,3,1
B549,T2,F,3,1
B550,T2,M,3,1
B551,T2,M,3,1
B552,T2,M,3,1
B553,T2,M,3,1
B554,T2,M,3,1
B555,T2,M,3,1
B556,T2,F,3,1
B557,T2,F,3,1
B558,T2,F,3,1
B559,T2,F,3,1
B560,T2,M,3,1
B561,T2,M,3,1
B562,T2,M,3,1
B563,T2,U,3,1
B564,T2,F,3,1
B565,T2,F,3,1
B566,T2,F,3,1
B567,T2,F,3,1
B568,T2,F,3,1
B569,T2,U,3,1
B570,T2,U,3,1
B571,T2,F,3,1
B572,T2,F,3,1
B573,T2,F,3,1
B574,T2,F,3,1
B575,T2,M,3,1
B576,T2,F,3,1
B577,T2,M,3,1
B578,T2,M,3,1
B579,T2,M,3,1
B580,T2,M,3,1
B581,T2,M,3,1
B582,T2,F,3,1
B583,T2,M,3,1
B585,T2,M,3,1
B586,T2,M,3,1
B587,T2,F,3,1
B588,T2,M,3,1
B589,T2,M,3,1
B590,T2,F,3,1
B591,T2,F,3,1
B592,T2,F,3,1
B593,T2,F,3,1
B594,T2,M,3,1
B595,T2,M,3,1
B596,T2,M,3,1
B597,T2,M,3,1
B598,T2,M,3,1
B599,T2,M,3,1
B600,T2,M,3,1
B601,T2,M,3,1
B602,T2,F,3,1
B603,T2,F,3,1
B604,T2,F,3,1
B605,T2,U,3,1
B606,T2,M,3,1
B607,T2,M,3,1
B608,T2,M,3,1
B609,T2,M,3,1
B610,T2,M,3,1
B611,T2,F,3,1
B612,T2,M,3,1
B613,T2,U,3,1
B614,T2,F,3,1
B615,T2,M,3,1
B616,T2,M,3,1
B617,T2,M,3,1
B618,T2,M,3,1
B619,T2,M,3,1
B620,T2,M,3,1
B621,T2,M,3,1
B622,T2,M,3,1
B623,T2,M,3,1
B624,T2,M,3,1
B625,T2,M,3,1
B626,T2,F,3,1
B627,T2,M,3,1
B628,T2,F,3,1
B629,T2,M,3,1
B630,T2,M,3,1
B631,T2,F,3,1
B632,T2,F,3,1
B633,T2,F,3,1
B634,T2,F,3,1
B635,T2,F,3,1
B636,T2,M,3,1
B637,T2,M,3,1
B638,T2,M,3,1
B639,T2,F,3,1
B640,T2,F,3,1
B641,T2,F,3,1
B642,T2,F,3,1
B643,T2,F,3,1
B644,T2,F,3,1
B645,T2,F,3,1
B646,T2,M,3,1
B647,T2,M,3,1
B648,T2,F,3,1
B649,T2,F,3,1
B650,T2,F,3,1
B651,T2,F,3,1
B652,T2,M,3,1
B653,T2,F,3,1
B654,T2,F,3,1
B655,T2,M,3,1
B656,T2,M,3,1
B657,T2,F,3,1
B658,T2,M,3,1
B659,T2,F,3,1
B660,T2,F,3,1
B661,T2,F,3,1
B662,T2,F,3,1
B663,T2,F,3,1
B664,T2,M,3,1
B665,T2,M,3,1
B666,T2,F,3,1
B667,T2,M,3,1
B668,T2,M,3,1
B669,T2,M,3,1
B670,T2,M,3,1
B671,T2,F,3,1
B672,T2,F,3,1
B673,T2,F,3,1
B674,T2,F,3,1
B675,T2,F,3,1
B676,T2,F,3,1
B677,T2,F,3,1
B678,T2,F,3,1
B679,T2,F,3,1
B680,T2,F,3,1
B681,T2,M,3,1
B682,T2,F,3,1
B683,T2,M,3,1
B684,T2,M,3,1
B685,T2,M,3,1
B686,T2,M,3,1
B687,T2,U,3,1
B688,T2,F,3,1
B689,T2,M,3,1
B690,T2,F,3,1
B691,T2,F,3,1
B693,T2,U,3,1
B694,T2,M,3,1
B695,T2,M,3,1
B696,T2,F,3,1
B697,T2,F,3,1
B698,T2,F,3,1
B699,T2,F,3,1
B700,T2,M,3,1
B701,T2,M,3,1
B702,T2,M,3,1
B703,T2,M,3,1
B704,T2,M,3,1
B705,T2,M,3,1
B706,T2,M,3,1
B707,T2,M,3,1
B708,T2,M,3,1
B709,T2,M,3,1
B710,T2,M,3,1
B711,T2,M,3,1
B712,T2,U,3,1
B713,T2,U,3,1
B714,T2,F,3,1
B715,T2,F,3,1
